Torneo,Posición,PJ,PG,PE,PP,GF,GC,DIF,Pts.,Bono
Campeonato colombiano 1948,6º,18,7,4,7,29,36,-7,18,0
Campeonato colombiano 1949,7º,26,8,8,10,40,60,-20,24,0
Campeonato colombiano 1950,15º,30,6,4,20,55,79,-24,16,0
Campeonato colombiano 1951,15º,34,7,9,18,54,96,-42,23,0
Campeonato colombiano 1952,13º,28,5,7,16,38,68,-30,17,0
Campeonato colombiano 1953,7º,22,10,5,7,57,45,12,25,0
Campeonato colombiano 1954,CampeónStar*.svg,18,14,3,1,58,26,32,31,0
Campeonato colombiano 1955,2º,27,16,7,4,63,35,28,39,0
Campeonato colombiano 1956,9º,24,8,4,12,53,56,-3,20,0
Campeonato colombiano 1957,9º,32,9,8,15,48,57,-9,26,0
Campeonato colombiano 1958,5º,36,14,11,11,66,56,10,39,0
Campeonato colombiano 1959,5º,43,16,10,17,87,87,0,42,0
Campeonato colombiano 1960,9º,44,15,7,22,66,72,-6,37,0
Campeonato colombiano 1961,11º,44,13,9,22,69,90,-21,35,0
Campeonato colombiano 1962,10º,44,10,9,25,56,96,-40,29,0
Campeonato colombiano 1963,11º,48,15,10,23,79,101,-22,40,0
Campeonato colombiano 1964,9º,48,17,13,18,85,82,3,47,0
Campeonato colombiano 1965,2º,48,22,16,10,71,58,13,60,0
Campeonato colombiano 1966,12º,52,15,11,26,81,103,-22,41,0
Campeonato colombiano 1967,10º,52,14,19,19,75,81,-6,47,0
Campeonato colombiano 1968,11º,52,14,12,26,58,76,-18,40,0
Campeonato colombiano 1969,12º,52,13,13,26,58,86,-28,39,0
Campeonato colombiano 1970,11º,52,13,16,23,68,86,-18,42,0
Campeonato colombiano 1971,2º,61,32,18,11,94,63,31,82,0
Campeonato colombiano 1972,4º,56,27,13,16,68,58,10,67,0
Campeonato colombiano 1973,CampeónStar*.svg,54,29,13,12,81,57,24,71,0
Campeonato colombiano 1974,2º,59,27,20,12,88,57,31,74,0
Campeonato colombiano 1975,10º,47,12,18,17,50,55,-5,42,0
Campeonato colombiano 1976,CampeónStar*.svg,57,27,13,17,88,49,39,67,0
Campeonato colombiano 1977,4º,57,21,20,16,67,57,10,62,0
Campeonato colombiano 1978,3º,59,29,14,16,84,61,23,72,0
Campeonato colombiano 1979,8º,53,14,24,15,66,69,-3,52,0
Campeonato colombiano 1980,4º,61,23,21,17,92,80,12,67,0
Campeonato colombiano 1981,CampeónStar*.svg,61,28,17,16,90,73,17,73,0
Campeonato colombiano 1982,6º,61,21,21,19,85,75,10,63,0
Campeonato colombiano 1983,3º,54,26,16,12,69,49,20,68,"1,00"
Campeonato colombiano 1984,7º,56,26,16,14,73,48,25,68,"1,25"
Campeonato colombiano 1985,6º,54,25,9,20,75,68,7,59,"0,50"
Campeonato colombiano 1986,6º,54,16,23,15,51,45,6,55,0
Campeonato colombiano 1987,4º,56,28,16,12,84,44,40,72,"1,25"
Campeonato colombiano 1988,2º,54,35,12,7,85,33,52,82,"1,50"
Campeonato colombiano 1989,Torneo cancelado,46,15,20,11,56,45,11,45,0
Campeonato colombiano 1990,2º,52,21,19,12,66,48,18,61,"0,50"
Campeonato colombiano 1991,CampeónStar*.svg,52,24,18,10,79,51,28,66,"0,25"
Campeonato colombiano 1992,2º,60,26,20,14,90,60,30,72,"0,75"
Campeonato colombiano 1993,3º,58,24,14,20,91,82,9,62,"0,50"
Campeonato colombiano 1994,CampeónStar*.svg,58,28,18,12,82,54,28,74,"2,00"
Campeonato colombiano 1995,3º,30,12,12,6,48,37,11,48,0
Campeonato colombiano 1995/96,3º,60,27,14,19,94,74,20,95,"1,75"
Campeonato colombiano 1996/97,3º,80,40,19,21,124,85,39,141,0
Campeonato colombiano 1998,4º,56,26,19,11,101,61,40,110,"1,25"
Campeonato colombiano 1999,CampeónStar*.svg,54,24,19,11,72,54,18,91,0
Campeonato colombiano 2000,7º,44,17,9,18,66,63,3,60,0
Campeonato colombiano 2001,9º,44,17,12,15,48,46,2,63,0
Torneo Apertura 2002,2º,30,15,9,6,37,25,12,54,0
Torneo Finalización 2002,8º,28,9,10,9,32,27,5,37,0
Torneo Apertura 2003,14º,18,6,2,10,17,20,-3,20,0
Torneo Finalización 2003,6º,24,12,5,7,31,22,9,41,0
Torneo Apertura 2004,2º,26,13,5,8,43,33,10,44,0
Torneo Finalización 2004,2º,26,13,5,8,35,26,9,44,0
Torneo Apertura 2005,CampeónStar*.svg,26,15,9,2,49,25,24,54,0
Torneo Finalización 2005,11º,18,6,8,4,22,16,6,26,0
Torneo Apertura 2006,6º,24,11,3,10,36,29,7,36,0
Torneo Finalización 2006,5º,24,11,6,7,26,20,6,39,0
Torneo Apertura 2007,CampeónStar*.svg,26,15,6,5,47,25,22,51,0
Torneo Finalización 2007,CampeónStar*.svg,26,15,8,3,39,17,22,53,0
Torneo Apertura 2008,14º,18,7,1,10,16,19,-3,22,0
Torneo Finalización 2008,8º,24,9,7,8,24,27,-3,34,0
Torneo Apertura 2009,17º,18,3,7,8,16,25,-9,16,0
Torneo Finalización 2009,3º,24,9,10,5,31,26,5,37,0
Torneo Apertura 2010,8º,18,9,1,8,28,24,4,28,0
Torneo Finalización 2010,7º,24,11,5,8,34,35,-1,38,0
Torneo Apertura 2011,CampeónStar*.svg,24,13,3,8,41,33,8,42,0
Torneo Finalización 2011,11º,18,5,7,6,24,23,1,22,0
Torneo Apertura 2012,12º,18,6,4,8,25,20,5,22,0
