,tournament,position,matches_played,wins,draws,lost,season
0,campeonato colombiano,4º,18.0,9.0,1.0,8.0,1948
1,campeonato colombiano,CampeónStar*.svg,28.0,22.0,4.0,2.0,1949
2,campeonato colombiano,Subcampeón,30.0,17.0,9.0,4.0,1950
3,campeonato colombiano,CampeónStar*.svg,34.0,28.0,4.0,2.0,1951
4,campeonato colombiano,CampeónStar*.svg,28.0,20.0,6.0,2.0,1952
5,campeonato colombiano,CampeónStar*.svg,22.0,14.0,7.0,1.0,1953
6,campeonato colombiano,5º,17.0,7.0,4.0,6.0,1954
7,campeonato colombiano,4º,27.0,10.0,10.0,7.0,1955
8,campeonato colombiano,Subcampeón,24.0,16.0,2.0,6.0,1956
9,campeonato colombiano,12º,32.0,8.0,9.0,15.0,1957
10,campeonato colombiano,Subcampeón,36.0,20.0,7.0,9.0,1958
11,campeonato colombiano,CampeónStar*.svg,44.0,22.0,14.0,8.0,1959
12,campeonato colombiano,6º,44.0,16.0,13.0,15.0,1960
13,campeonato colombiano,CampeónStar*.svg,44.0,25.0,12.0,7.0,1961
14,campeonato colombiano,CampeónStar*.svg,44.0,25.0,12.0,7.0,1962
15,campeonato colombiano,CampeónStar*.svg,48.0,27.0,9.0,12.0,1963
16,campeonato colombiano,CampeónStar*.svg,48.0,21.0,15.0,12.0,1964
17,campeonato colombiano,3º,48.0,18.0,21.0,9.0,1965
18,campeonato colombiano,5º,52.0,23.0,12.0,17.0,1966
19,campeonato colombiano,Subcampeón,52.0,26.0,13.0,13.0,1967
20,campeonato colombiano,3º,54.0,27.0,16.0,11.0,1968
21,campeonato colombiano,3º,59.0,30.0,17.0,12.0,1969
22,campeonato colombiano,6º,52.0,19.0,18.0,15.0,1970
23,campeonato colombiano,3º,58.0,32.0,13.0,13.0,1971
24,campeonato colombiano,CampeónStar*.svg,60.0,35.0,14.0,11.0,1972
25,campeonato colombiano,Subcampeón,56.0,32.0,14.0,10.0,1973
26,campeonato colombiano,5º,57.0,28.0,12.0,17.0,1974
27,campeonato colombiano,Subcampeón,57.0,32.0,15.0,10.0,1975
28,campeonato colombiano,3º,59.0,29.0,19.0,11.0,1976
29,campeonato colombiano,3º,57.0,24.0,18.0,15.0,1977
30,campeonato colombiano,CampeónStar*.svg,59.0,24.0,20.0,15.0,1978
